Lon.,Lat.,RSRP,RSRQ,SNR,,,,,,
778,193,-76.93076853,-6.407692322,29.5,,,,,,
770,191,-78.9455,-6.245454528,29.87272713,,,,,,
777,179,-74.425,-6.2,30,,,,,,
779,169,-77.73125029,-6.5,29.19375002,,,,,,
786,181,-74.41052688,-6.263157845,29.97368411,,,,,,
792,156,-80.82857114,-6.304761977,28.94761903,,,,,,
788,138,-82.58235348,-6.464705916,28.87647068,,,,,,
783,150,-73.94615408,-6.300000044,29.83076917,,,,,,
793,138,-84.00000153,-6.240000025,29.19333318,,,,,,
796,105,-79.10000027,-6.399999899,29.77647041,,,,,,
792,121,-77.34666697,-6.360000038,29.76666654,,,,,,
778,109,-76.34666799,-6.726666705,29.80666644,,,,,,
791,102,-79.55882443,-6.688235367,29.19411771,,,,,,
783,131,-75.73750019,-5.956250012,29.66249979,,,,,,
806,165,-78.33125019,-6.06249994,29.73124993,,,,,,
808,186,-85.36250067,-7.137500048,28.14375031,,,,,,
797,194,-83.24347886,-6.013043487,29.74782587,,,,,,
809,196,-82.97857176,-6.021428619,29.69999967,,,,,,
825,197,-85.37058976,-6.241176493,29.3647057,,,,,,
827,163,-86.52727439,-6.181818182,29.12727252,,,,,,
805,159,-84.1187501,-6.200000077,29.30000019,,,,,,
771,151,-66.3076926,-6.153846191,29.93846145,,,,,,
745,161,-66.85555564,-6.316666683,29.97777769,,,,,,
755,152,-64.63888868,-6.205555545,29.94444434,,,,,,
755,135,-72.98571505,-6.092857088,29.88571412,,,,,,
738,148,-75.27333425,-5.973333359,29.92666639,,,,,,
739,166,-72.08000031,-5.986666679,29.91333313,,,,,,
731,195,-80.41333364,-5.99000001,28.0066665,,,,,,
732,176,-79.72142901,-6.085714272,29.76428536,,,,,,
745,196,-68.70555623,-6.044444429,29.92777761,,,,,,
743,172,-79.23846201,-5.953846161,28.51538467,,,,,,
729,172,-71.00000139,-6.090909048,29.98181811,,,,,,
731,159,-69.81538508,-6,29.95384612,,,,,,
698,123,-87.84444597,-6.111111058,20.05555577,,,,,,
702,108,-84.32222239,-5.922222296,24.30000051,,,,,,
698,140,-84.25555589,-6.055555609,24.34444427,,,,,,
707,155,-72.94285801,-6,29.34285736,,,,,,
740,146,-71.7916673,-5.883333365,29.9416666,,,,,,
748,134,-73.06428637,-6.00714285,29.85714272,,,,,,
764,136,-79.23333316,-5.900000042,29.25555589,,,,,,
764,111,-79.9090916,-6.081818234,29.11818175,,,,,,
764,128,-74.16666751,-6.066666656,29.86666637,,,,,,
738,125,-68.22222222,-5.988888952,29.27777799,,,,,,
719,126,-75.72307704,-6.030769201,29.72307689,,,,,,
718,105,-79.52142933,-6.142857075,28.02142852,,,,,,
736,107,-81.25454643,-6.045454502,29.00000017,,,,,,
712,212,-88.60909063,-6.400000052,4.418181788,,,,,,
731,213,-86.45555539,-7.199999968,5.58888891,,,,,,
753,212,-86.42727453,-7.06363639,4.772727251,,,,,,
775,214,-87.15999985,-7.660000038,0.499999962,,,,,,
799,211,-89.07692308,-6.730769304,6.192307711,,,,,,
820,210,-92.73750114,-7.312500119,-0.312500008,,,,,,
839,210,-87.65714264,-6.957142898,4.67142851,,,,,,
839,210,-85.375,-7.450000167,11.4000001,,,,,,
852,221,-103.4666672,-7.933333238,7.999999841,,,,,,
868,222,-104.8250008,-9.199999928,12.55000007,,,,,,
747,230,-96.72000122,-13.82000008,-5.019999886,,,,,,
746,248,-100.2799988,-12.27999992,-1.760000026,,,,,,
782,246,-104.6499996,-14.17499971,-3.625,,,,,,
804,249,-97.90000153,-9.774999857,5.350000024,,,,,,
816,239,-100.1666667,-8.200000127,5.266666651,,,,,,
800,277,-100.7999992,-10.39999986,1.675000023,,,,,,
817,236,-91.97500038,-7.375000119,10.82499981,,,,,,
783,274,-96.40000153,-8.233333588,15.96666666,,,,,,
783,274,-95.64999962,-10.04999971,1.699999982,,,,,,
754,275,-96.20000076,-9.200000048,12.27499986,,,,,,
754,275,-101.4500008,-11.89999986,-1.075000107,,,,,,
727,275,-93.9,-6.5,25.46000023,,,,,,
699,258,-93.24000092,-6.400000095,21.25999985,,,,,,
697,290,-91.98000031,-6.440000057,20.44000015,,,,,,
686,265,-81.72000122,-6.639999962,16.12000046,,,,,,
671,263,-88.875,-7.149999976,28.57499981,,,,,,
674,282,-83.70000076,-6.199999928,28.55000067,,,,,,
656,277,-80.80000051,-6.300000191,27.56666629,,,,,,
636,282,-88.02499962,-6.275000095,24.375,,,,,,
665,265,-80.76000061,-6.440000057,18.34000053,,,,,,
644,265,-83.125,-6.899999976,28.52499962,,,,,,
638,278,-87.77499962,-6.275000095,27.1500001,,,,,,
595,280,-93,-7.625000119,8.725000143,,,,,,
595,280,-93,-7.625000119,8.725000143,,,,,,
618,264,-94.52499962,-9.150000095,18.27500015,,,,,,
588,278,-94.59999847,-7.816666762,26.20000013,,,,,,
579,298,-101.5999985,-6.466666698,19.43333371,,,,,,
567,310,-99.75,-7.449999928,9.674999952,,,,,,
584,246,-76.12500191,-6.450000048,28.5250001,,,,,,
595,228,-79.12500191,-6.300000191,29.32500029,,,,,,
641,245,-85.35000038,-6.325000167,24.25,,,,,,
680,243,-77.71999969,-6.419999981,20.58000031,,,,,,
709,244,-84.76666768,-8.76666673,27.16666667,,,,,,
694,242,-84.79999924,-6.549999952,19.54999971,,,,,,
715,238,-95.55000114,-9.75,3.899999917,,,,,,
724,257,-97.30000114,-9.075000048,5,,,,,,
743,247,-97.96000214,-6.760000038,15.15999985,,,,,,
