location_x,location_y,PCI,RSRP
12,24,1,-104.3
12,24,1,-101.9
12,24,1,-100.9
79,6,54,-98
79,6,54,-97.8
79,6,54,-93.8
79,6,54,-99.6
74,12,54,-77.6
74,12,54,-75.7
74,12,54,-75.4
74,12,54,-79.3
27,13,1,-68.1
27,13,1,-75.8
27,13,1,-67.8
27,13,1,-66.3
27,13,1,-69.3
27,13,1,-63.8
80,11,54,-78.4
80,11,54,-74.8
80,11,54,-81.1
36,5,1,-110
36,5,1,-105.5
36,5,1,-100.6
60,0,54,-100.8
60,0,54,-101.1
60,0,54,-95.5
60,0,54,-101.6
46,23,2,-81.9
46,23,2,-83.4
46,23,2,-82.6
46,23,2,-84.9
46,23,2,-82.4
81,3,3,-99.3
81,3,3,-96.1
81,3,3,-94.6
81,3,3,-94.8
64,4,54,-93.6
64,4,54,-96.7
64,4,54,-94.3
64,4,54,-87.4
27,11,1,-68.9
27,11,1,-69.4
27,11,1,-70
64,7,54,-86
64,7,54,-86.9
64,7,54,-84.6
64,7,54,-90.4
89,14,3,-83.4
89,14,3,-83.4
89,14,3,-83.7
89,14,3,-83.9
89,14,3,-85.2
89,14,3,-84.8
89,14,3,-87.8
89,14,3,-88.4
89,14,3,-87.5
89,14,3,-87.2
89,14,3,-85.3
89,14,3,-83.8
89,14,3,-84.1
89,14,3,-84.9
89,14,3,-85.9
89,14,3,-86.5
72,5,54,-80.4
72,5,54,-80.5
72,5,54,-81.4
72,5,54,-77.8
72,5,54,-83.7
91,11,3,-90.9
91,11,3,-90.8
91,11,3,-92
91,11,3,-90.8
91,11,3,-94.6
91,11,3,-94.6
91,11,3,-93.4
91,11,3,-94.8
88,24,3,-80.1
88,24,3,-77.8
88,24,3,-76.7
88,24,3,-74.8
88,24,3,-77.2
88,24,3,-78.9
88,24,3,-76
88,24,3,-79.8
88,24,3,-82.1
88,24,3,-79.4
88,24,3,-79.8
88,24,3,-81.9
88,24,3,-81.9
88,24,3,-82.8
88,24,3,-82.6
88,24,3,-80.8
88,24,3,-79.9
37,13,1,-92
37,13,1,-92
37,13,1,-93
24,21,1,-96.6
24,21,1,-90.8
24,21,1,-92.2
24,21,1,-93
76,15,54,-97.8
76,15,54,-91.4
76,15,3,-87.1
76,15,3,-86.2
79,4,3,-95.9
79,4,3,-98.9
67,12,3,-91.8
67,12,3,-91.1
67,12,3,-93.7
83,11,3,-83.8
83,11,3,-87.4
83,11,3,-87.8
83,11,3,-87.1
83,11,3,-87.9
83,11,3,-88.8
83,11,3,-86.4
83,11,3,-87.8
83,11,3,-86.1
83,11,3,-82.8
83,11,3,-84.8
53,16,2,-78.9
53,16,2,-78.7
53,16,2,-78.9
53,16,2,-77.1
53,16,2,-72.6
80,14,3,-79.8
80,14,3,-80.6
80,14,3,-81
80,14,3,-77.9
80,14,3,-78.1
80,14,3,-79.7
80,14,3,-81.6
80,14,3,-81.4
80,14,3,-81.2
80,14,3,-81.1
80,14,3,-80.9
80,14,3,-80.5
80,14,3,-79.4
80,14,3,-80.4
80,14,3,-80.3
80,14,3,-80.9
80,14,3,-79.6
80,14,3,-79.8
80,14,3,-82.6
80,14,3,-81.9
80,14,3,-80.1
80,14,3,-79.4
80,14,3,-78.8
80,14,3,-78.9
80,14,3,-81.3
80,14,3,-82.3
80,14,3,-83.2
80,14,3,-80.6
80,14,3,-80.7
80,14,3,-78.4
9,16,1,-102.9
9,16,1,-105.6
9,16,1,-105.9
9,16,1,-107.3
9,16,1,-102.1
9,16,1,-102.1
9,16,1,-101.6
9,16,1,-103.1
84,20,3,-79.2
84,20,3,-80
84,20,3,-80.3
84,20,3,-80.5
84,20,3,-78.9
84,20,3,-81.6
84,20,3,-76.2
84,20,3,-75.1
84,20,3,-81.3
63,7,54,-84.6
63,7,54,-86.1
63,7,54,-86.4
86,15,3,-75.3
86,15,3,-75.1
86,15,3,-75.2
86,15,3,-74.6
86,15,3,-74.4
86,15,3,-75.8
86,15,3,-76.4
86,15,3,-74.2
86,15,3,-74.9
86,15,3,-73.4
86,15,3,-73
86,15,3,-73.1
86,15,3,-72.8
86,15,3,-71.1
86,15,3,-72
86,15,3,-71.1
86,15,3,-75
86,15,3,-75.7
9,13,1,-95.9
9,13,1,-96.8
9,13,1,-95.7
9,13,1,-95.8
9,13,1,-96.2
31,13,1,-85.9
17,13,1,-73.8
17,13,1,-72.9
17,13,1,-74.5
17,13,1,-72.4
81,19,3,-75.1
81,19,3,-75.3
81,19,3,-75.1
81,19,3,-75.9
81,19,3,-75.6
81,19,3,-75.4
81,19,3,-76.6
81,19,3,-78.1
81,19,3,-78.8
81,19,3,-78.5
81,19,3,-74.8
81,19,3,-75.3
81,19,3,-71.4
81,19,3,-71.9
81,19,3,-71.3
77,8,54,-82.9
77,8,54,-85.8
77,8,54,-85.6
54,13,54,-92.6
54,13,54,-93.1
54,13,54,-90.4
54,13,54,-98.1
