location_x,location_y,PCI,RSRP
79.213,6.2155,54,-98
79.213,6.2155,54,-97.8
79.213,6.2155,54,-93.8
79.213,6.2155,54,-99.6
74.267,12.27,54,-77.6
74.267,12.27,54,-75.7
74.267,12.27,54,-75.4
74.267,12.27,54,-79.3
26.731,12.762,1,-68.1
26.731,12.762,1,-75.8
26.731,12.762,1,-67.8
26.731,12.762,1,-66.3
26.731,12.762,1,-69.3
26.731,12.762,1,-63.8
79.816,11.299,54,-78.4
79.816,11.299,54,-74.8
79.816,11.299,54,-81.1
60.449,0.406,54,-100.8
60.449,0.406,54,-101.1
60.449,0.406,54,-95.5
60.449,0.406,54,-101.6
46.435,22.934,2,-81.9
46.435,22.934,2,-83.4
46.435,22.934,2,-82.6
46.435,22.934,2,-84.9
46.435,22.934,2,-82.4
81.259,2.725,3,-99.3
81.259,2.725,3,-96.1
81.259,2.725,3,-94.6
81.259,2.725,3,-94.8
63.857,3.877,54,-93.6
63.857,3.877,54,-96.7
63.857,3.877,54,-94.3
63.857,3.877,54,-87.4
26.926,11.096,1,-68.9
26.926,11.096,1,-69.4
26.926,11.096,1,-70
63.944,7.3135,54,-86
63.944,7.3135,54,-86.9
63.944,7.3135,54,-84.6
63.944,7.3135,54,-90.4
89.38,14.377,3,-83.4
89.38,14.377,3,-83.4
89.38,14.377,3,-83.7
89.38,14.377,3,-83.9
89.38,14.377,3,-85.2
89.38,14.377,3,-84.8
89.38,14.377,3,-87.8
89.38,14.377,3,-88.4
89.38,14.377,3,-87.5
89.38,14.377,3,-87.2
89.38,14.377,3,-85.3
89.38,14.377,3,-83.8
89.38,14.377,3,-84.1
89.38,14.377,3,-84.9
89.38,14.377,3,-85.9
89.38,14.377,3,-86.5
72.197,5.4445,54,-80.4
72.197,5.4445,54,-80.5
72.197,5.4445,54,-81.4
72.197,5.4445,54,-77.8
72.197,5.4445,54,-83.7
90.73,11.497,3,-90.9
90.73,11.497,3,-90.8
90.73,11.497,3,-92
90.73,11.497,3,-90.8
90.73,11.497,3,-94.6
90.73,11.497,3,-94.6
90.73,11.497,3,-93.4
90.73,11.497,3,-94.8
87.617,24.382,3,-80.1
87.617,24.382,3,-77.8
87.617,24.382,3,-76.7
87.617,24.382,3,-74.8
87.617,24.382,3,-77.2
87.617,24.382,3,-78.9
87.617,24.382,3,-76
87.617,24.382,3,-79.8
87.617,24.382,3,-82.1
87.617,24.382,3,-79.4
87.617,24.382,3,-79.8
87.617,24.382,3,-81.9
87.617,24.382,3,-81.9
87.617,24.382,3,-82.8
87.617,24.382,3,-82.6
87.617,24.382,3,-80.8
87.617,24.382,3,-79.9
37.049,12.856,1,-92
37.049,12.856,1,-92
37.049,12.856,1,-93
75.868,14.601,54,-97.8
75.868,14.601,54,-91.4
75.868,14.601,3,-87.1
75.868,14.601,3,-86.2
79.387,3.721,3,-95.9
79.387,3.721,3,-98.9
67.255,11.617,3,-91.8
67.255,11.617,3,-91.1
67.255,11.617,3,-93.7
82.784,11.461,3,-83.8
82.784,11.461,3,-87.4
82.784,11.461,3,-87.8
82.784,11.461,3,-87.1
82.784,11.461,3,-87.9
82.784,11.461,3,-88.8
82.784,11.461,3,-86.4
82.784,11.461,3,-87.8
82.784,11.461,3,-86.1
82.784,11.461,3,-82.8
82.784,11.461,3,-84.8
53.264,16.358,2,-78.9
53.264,16.358,2,-78.7
53.264,16.358,2,-78.9
53.264,16.358,2,-77.1
53.264,16.358,2,-72.6
80.228,13.541,3,-79.8
80.228,13.541,3,-80.6
80.228,13.541,3,-81
80.228,13.541,3,-77.9
80.228,13.541,3,-78.1
80.228,13.541,3,-79.7
80.228,13.541,3,-81.6
80.228,13.541,3,-81.4
80.228,13.541,3,-81.2
80.228,13.541,3,-81.1
80.228,13.541,3,-80.9
80.228,13.541,3,-80.5
80.228,13.541,3,-79.4
80.228,13.541,3,-80.4
80.228,13.541,3,-80.3
80.228,13.541,3,-80.9
80.228,13.541,3,-79.6
80.228,13.541,3,-79.8
80.228,13.541,3,-82.6
80.228,13.541,3,-81.9
80.228,13.541,3,-80.1
80.228,13.541,3,-79.4
80.228,13.541,3,-78.8
80.228,13.541,3,-78.9
80.228,13.541,3,-81.3
80.228,13.541,3,-82.3
80.228,13.541,3,-83.2
80.228,13.541,3,-80.6
80.228,13.541,3,-80.7
80.228,13.541,3,-78.4
8.6725,16.064,1,-102.9
8.6725,16.064,1,-105.6
8.6725,16.064,1,-105.9
8.6725,16.064,1,-107.3
8.6725,16.064,1,-102.1
8.6725,16.064,1,-102.1
8.6725,16.064,1,-101.6
8.6725,16.064,1,-103.1
84.316,20.434,3,-79.2
84.316,20.434,3,-80
84.316,20.434,3,-80.3
84.316,20.434,3,-80.5
84.316,20.434,3,-78.9
84.316,20.434,3,-81.6
84.316,20.434,3,-76.2
84.316,20.434,3,-75.1
84.316,20.434,3,-81.3
63.103,6.8605,54,-84.6
63.103,6.8605,54,-86.1
63.103,6.8605,54,-86.4
85.727,15.3,3,-75.3
85.727,15.3,3,-75.1
85.727,15.3,3,-75.2
85.727,15.3,3,-74.6
85.727,15.3,3,-74.4
85.727,15.3,3,-75.8
85.727,15.3,3,-76.4
85.727,15.3,3,-74.2
85.727,15.3,3,-74.9
85.727,15.3,3,-73.4
85.727,15.3,3,-73
85.727,15.3,3,-73.1
85.727,15.3,3,-72.8
85.727,15.3,3,-71.1
85.727,15.3,3,-72
85.727,15.3,3,-71.1
85.727,15.3,3,-75
85.727,15.3,3,-75.7
9.199,13.442,1,-95.9
9.199,13.442,1,-96.8
9.199,13.442,1,-95.7
9.199,13.442,1,-95.8
9.199,13.442,1,-96.2
30.757,12.541,1,-85.9
17.133,13.005,1,-73.8
17.133,13.005,1,-72.9
17.133,13.005,1,-74.5
17.133,13.005,1,-72.4
81.199,19.09,3,-75.1
81.199,19.09,3,-75.3
81.199,19.09,3,-75.1
81.199,19.09,3,-75.9
81.199,19.09,3,-75.6
81.199,19.09,3,-75.4
81.199,19.09,3,-76.6
81.199,19.09,3,-78.1
81.199,19.09,3,-78.8
81.199,19.09,3,-78.5
81.199,19.09,3,-74.8
81.199,19.09,3,-75.3
81.199,19.09,3,-71.4
81.199,19.09,3,-71.9
81.199,19.09,3,-71.3
77.474,7.801,54,-82.9
77.474,7.801,54,-85.8
77.474,7.801,54,-85.6
54.247,13.013,54,-92.6
54.247,13.013,54,-93.1
54.247,13.013,54,-90.4
54.247,13.013,54,-98.1
24.601,12.934,1,-64.1
24.601,12.934,1,-63.5
24.601,12.934,1,-64.4
24.601,12.934,1,-66.6
85.804,13.637,3,-75.8
85.804,13.637,3,-76.6
85.804,13.637,3,-74.6
85.804,13.637,3,-74.5
85.804,13.637,3,-80.3
85.804,13.637,3,-77.2
85.804,13.637,3,-78.9
85.804,13.637,3,-79.2
85.804,13.637,3,-78
85.804,13.637,3,-77.6
85.804,13.637,3,-75.2
85.804,13.637,3,-76
85.804,13.637,3,-76.2
82.655,6.3655,3,-91.5
82.655,6.3655,3,-90.6
82.655,6.3655,3,-88.1
82.655,6.3655,3,-92.4
83.357,5.992,3,-94.9
83.357,5.992,3,-93.7
83.357,5.992,3,-93.2
83.357,5.992,3,-93.6
83.357,5.992,3,-94.8
83.357,5.992,3,-94.8
81.847,7.216,54,-100.6
81.847,7.216,54,-100.5
81.847,7.216,54,-98.6
81.847,7.216,54,-99.1
81.847,7.216,54,-102.6
64.242,9.6775,54,-93.8
64.242,9.6775,54,-92.1
64.242,9.6775,54,-93.4
85.385,11.158,3,-86.1
85.385,11.158,3,-86.9
85.385,11.158,3,-86.9
85.385,11.158,3,-88.7
85.385,11.158,3,-88.5
85.385,11.158,3,-86.8
85.385,11.158,3,-87.5
85.385,11.158,3,-86.2
85.385,11.158,3,-88
85.385,11.158,3,-86
82.714,3.9925,3,-102.9
82.714,3.9925,3,-101.6
82.714,3.9925,3,-102.4
82.714,3.9925,54,-99.4
82.714,3.9925,54,-95.1
82.714,3.9925,54,-94.8
82.714,3.9925,54,-95.5
77.443,11.241,54,-84.3
77.443,11.241,54,-81.3
