location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,301_beam0,301_beam32,301_beam64,301_beam96,301_beam288,302_beam0,302_beam32,302_beam64,302_beam96,302_beam288,Distance_301,Distance_302,Angle_301,Angle_302
817,191,301,-125.8,-14.8,,11:08:58.373,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,302,-116.1,-11,,11:09:02.214,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,301,-127.6,-15.6,,11:09:33.017,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,301,-127.9,-17,,11:09:36.762,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,301,-127.6,-16.8,,11:10:07.568,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,301,-121.9,-13.8,,11:10:11.303,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,302,-121.8,-13.2,,11:10:41.743,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,301,-123.1,-13.3,,11:10:45.305,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,301,-122.9,-14.1,,11:11:16.603,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
817,191,301,-122.4,-14,,11:11:20.313,18Jun13_110854.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,51.6236379966,80.4114419719,A,D
706,268,120,-121.9,-10.6,4.6,14:10:11.379,18Jun13_141011.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,176.08236709,69.77105417,H,G
706,268,120,-122,-10.7,4.3,14:10:11.792,18Jun13_141011.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,176.08236709,69.77105417,H,G
706,268,120,-122.1,-10.8,4,14:10:12.004,18Jun13_141011.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,176.08236709,69.77105417,H,G
706,268,120,-122.8,-11.1,3.2,14:10:12.624,18Jun13_141011.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,176.08236709,69.77105417,H,G
706,268,120,-125.1,-12.2,1.1,14:10:13.264,18Jun13_141011.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,176.08236709,69.77105417,H,G
706,268,120,-123.7,-11.4,3.4,14:10:13.904,18Jun13_141011.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,176.08236709,69.77105417,H,G
706,268,120,-121.3,-10.8,6.1,14:10:14.548,18Jun13_141011.1.nmf,-10,-10,0,1,1,0,0,1,0,0,0,0,176.08236709,69.77105417,H,G
