Location_x,Location_y,PCI,RSRP,RSRQ,SNR,Location_SC1_x,Location_SC1_y,Location_SC2_x,Location_SC2_y,Location_SC3_x,Location_SC3_y,Location_SC5_x,Location_SC5_y,Power_SC1,Power_SC2,Power_SC3,Power_SC5,file_name,time
574.00,143.00,2,-95.4,-6.3,24.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:41.046
574.00,143.00,2,-94.9,-6.4,24.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:39.500
574.00,143.00,2,-90.8,-6.4,23.5,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:38.213
574.00,143.00,2,-94.1,-6.4,20.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:36.941
574.00,143.00,2,-93.3,-6.3,23.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:36.673
574.00,143.00,2,-92.0,-6.4,19.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:34.591
574.00,143.00,2,-93.5,-6.4,19.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:33.587
574.00,143.00,2,-88.6,-6.5,18.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:31.759
574.00,143.00,2,-94.5,-6.4,20.4,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:30.538
574.00,143.00,2,-94.3,-6.4,21.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:29.473
574.00,143.00,2,-93.6,-6.4,18.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:27.806
574.00,143.00,2,-89.9,-6.3,20.4,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:27.073
574.00,143.00,2,-91.4,-6.3,19.4,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:25.872
574.00,143.00,2,-92.9,-6.3,19.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:24.136
574.00,143.00,2,-90.3,-6.4,19.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:23.326
574.00,143.00,2,-87.9,-6.4,19.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:21.575
574.00,143.00,2,-88.1,-6.6,19.8,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:20.300
574.00,143.00,2,-87.1,-6.4,20.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:19.015
574.00,143.00,2,-87.9,-6.5,19.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:17.740
574.00,143.00,2,-86.9,-6.3,20.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:17.472
574.00,143.00,2,-85.1,-6.4,21.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:16.089
574.00,143.00,2,-84.3,-6.4,21.5,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:14.366
574.00,143.00,2,-82.1,-6.4,24.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:12.620
574.00,143.00,2,-85.4,-6.3,21.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:11.340
574.00,143.00,2,-83.4,-6.4,23.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:09.886
574.00,143.00,2,-84.3,-6.3,23.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:09.073
574.00,143.00,2,-84.8,-6.3,22.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:07.502
574.00,143.00,2,-83.8,-6.3,24.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:06.673
574.00,143.00,2,-82.6,-6.3,24.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:05.360
574.00,143.00,2,-87.9,-6.4,22.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:04.085
574.00,143.00,2,-88.7,-6.4,20.8,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:02.380
574.00,143.00,2,-87.4,-6.5,19.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:40:01.096
574.00,143.00,2,-88.9,-6.4,19.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:59.809
574.00,143.00,2,-91.1,-6.3,21.4,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:58.541
574.00,143.00,2,-87.5,-6.3,21.5,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:58.274
574.00,143.00,2,-84.6,-6.3,21.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:55.873
574.00,143.00,2,-94.6,-6.3,23.8,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:54.694
574.00,143.00,2,-92.6,-6.4,20.8,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:53.423
574.00,143.00,2,-94.2,-6.3,20.5,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:53.370
574.00,143.00,2,-89.3,-6.4,22.4,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:51.075
574.00,143.00,2,-91.3,-6.3,18.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:49.527
574.00,143.00,2,-91.9,-6.4,19.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:48.673
574.00,143.00,2,-89.5,-6.3,21.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:47.473
574.00,143.00,2,-90.0,-6.3,25.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:45.738
574.00,143.00,2,-88.3,-6.4,21.5,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:44.451
574.00,143.00,2,-86.3,-6.2,21.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:43.007
574.00,143.00,2,-85.1,-6.3,24.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:41.895
574.00,143.00,2,-88.0,-6.6,21.8,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:40.621
574.00,143.00,2,-92.7,-6.3,24.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:39.333
574.00,143.00,2,-91.5,-6.3,26.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:39.074
574.00,143.00,2,-88.5,-6.3,23.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:36.674
574.00,143.00,2,-87.4,-6.3,23.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:35.474
574.00,143.00,2,-88.3,-6.4,21.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:34.349
574.00,143.00,2,-91.4,-6.4,21.8,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:32.932
574.00,143.00,2,-91.1,-6.3,19.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:31.661
574.00,143.00,2,-92.7,-6.3,21.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:30.673
574.00,143.00,2,-88.8,-6.3,22.5,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:30.381
574.00,143.00,2,-88.5,-6.3,20.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:28.274
574.00,143.00,2,-87.8,-6.3,24.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:26.824
574.00,143.00,2,-86.7,-6.3,21.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:25.088
574.00,143.00,2,-92.2,-7.8,21.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:23.940
574.00,143.00,2,-86.9,-6.4,23.4,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:22.701
574.00,143.00,2,-84.4,-6.3,26.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:21.418
574.00,143.00,2,-87.0,-6.4,23.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:20.141
574.00,143.00,2,-91.5,-6.3,20.5,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:18.857
574.00,143.00,2,-89.2,-6.3,20.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:17.474
574.00,143.00,2,-86.7,-6.3,24.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:17.366
574.00,143.00,2,-89.2,-6.3,20.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:15.019
574.00,143.00,2,-86.4,-6.3,26.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:14.962
574.00,143.00,2,-89.3,-6.3,24.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:12.954
574.00,143.00,2,-86.3,-6.3,24.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:12.463
574.00,143.00,2,-93.4,-6.6,17.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:10.272
574.00,143.00,2,-93.3,-6.4,16.7,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:09.100
574.00,143.00,2,-92.7,-6.4,21.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:07.167
574.00,143.00,2,-91.3,-6.3,25.8,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:06.060
574.00,143.00,2,-94.7,-6.3,21.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:04.775
574.00,143.00,2,-87.3,-6.3,25.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:03.504
574.00,143.00,2,-90.0,-6.3,24.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:02.287
574.00,143.00,2,-90.1,-6.4,20.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:39:00.933
574.00,143.00,2,-92.2,-6.5,20.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:59.477
574.00,143.00,2,-90.5,-6.3,22.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:59.290
574.00,143.00,2,-95.7,-5.9,22.2,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:57.219
574.00,143.00,2,-85.6,-6.4,26.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:55.764
574.00,143.00,2,-89.5,-6.4,24.0,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:54.545
574.00,143.00,2,-92.1,-6.3,23.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:53.476
574.00,143.00,2,-91.7,-6.7,17.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:52.274
574.00,143.00,2,-91.4,-6.3,25.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:51.074
574.00,143.00,2,-89.6,-6.4,24.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:49.877
574.00,143.00,2,-89.2,-6.4,23.1,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:48.144
574.00,143.00,2,-89.1,-6.3,24.4,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:48.144
574.00,143.00,2,-91.1,-6.3,24.9,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:46.028
574.00,143.00,2,-90.9,-6.2,22.6,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:44.301
574.00,143.00,2,-95.4,-6.2,23.3,251,207,480,151,631,209,753,152,19,19,19,19,18Jun06_113834.1.nmf,11:38:42.817
