location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,301_beam0,301_beam32,301_beam64,301_beam96,301_beam128,302_beam0,302_beam32,302_beam64,302_beam96,302_beam128,Distance_301,Distance_302,Angle_301,Angle_302
784,209,302,-91.3,-6.3,30,15:25:18.864,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.3,-6.3,27.4,15:25:18.864,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-94.3,-6.3,30,15:25:18.864,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-94.3,-6.3,27.4,15:25:18.864,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-99.3,-6.6,24.7,15:25:20.188,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.7,-6.2,28.8,15:25:21.789,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-92.4,-6.4,30,15:25:22.838,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-92.4,-6.5,27.5,15:25:24.116,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.7,-6.4,28.6,15:25:25.198,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-94.4,-6.4,26.4,15:25:26.678,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-94.9,-6.4,26.7,15:25:27.958,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-90.9,-6.4,29.3,15:25:29.663,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-90.9,-6.3,29.3,15:25:30.992,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-88.5,-6.2,29.6,15:25:31.460,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-99.8,-7.8,25.2,15:25:33.468,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.1,-6.4,29,15:25:35.430,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-90.3,-6.4,29.2,15:25:36.921,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-90.6,-6.4,30,15:25:37.275,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.6,-7.3,29.2,15:25:39.796,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.7,-6.4,28.7,15:25:40.759,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.5,-6.4,29.4,15:25:42.042,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-93,-6.4,29.8,15:25:43.592,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-90.8,-6.4,29.6,15:25:45.888,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-90.9,-6.3,27.8,15:25:47.158,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-94.9,-6.4,29,15:25:48.802,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.8,-7.1,27.7,15:25:50.105,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-92.8,-7.4,27.4,15:25:50.996,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-91.8,-6.3,28.2,15:25:53.542,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-92.4,-6.4,28.9,15:25:54.814,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-92.1,-6.3,27.7,15:25:54.839,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-94.6,-9.3,28.1,15:25:56.163,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-90.6,-6.9,28.8,15:25:57.263,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-89.7,-6.4,30,15:25:58.677,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-89.4,-6.5,30,15:25:59.949,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-88.9,-6.6,30,15:26:01.240,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-89.4,-7.4,28.9,15:26:03.770,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-89.5,-6.3,29.4,15:26:05.078,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
784,209,302,-89.4,-6.4,28.8,15:26:06.358,18Jun29_152517.1.nmf,-5,-5,0,0,1,0,0,1,0,0,0,0,84.5931439302,46.0977222865,8,5
