Location_x,Location_y,PCI,RSRP
"693.000000
","212.000000
",54,-78.4
"693.000000
","212.000000
",54,-79.8
"151.000000
","123.000000
",1,-104.3
"151.000000
","123.000000
",1,-101.9
"151.000000
","123.000000
",1,-100.9
"724.000000
","257.000000
",54,-98
"724.000000
","257.000000
",54,-97.8
"724.000000
","257.000000
",54,-93.8
"724.000000
","257.000000
",54,-99.6
"469.000000
","164.000000
",2,-76.1
"469.000000
","164.000000
",2,-74.1
"469.000000
","164.000000
",2,-69.3
"469.000000
","164.000000
",2,-63.6
"469.000000
","164.000000
",2,-66.9
"827.000000
","122.000000
",3,-85.9
"827.000000
","122.000000
",3,-84.4
"827.000000
","122.000000
",3,-82.9
"681.000000
","207.000000
",54,-77.6
"681.000000
","207.000000
",54,-75.7
"681.000000
","207.000000
",54,-75.4
"681.000000
","207.000000
",54,-79.3
"280.000000
","213.000000
",1,-68.1
"280.000000
","213.000000
",1,-75.8
"280.000000
","213.000000
",1,-67.8
"280.000000
","213.000000
",1,-66.3
"280.000000
","213.000000
",1,-69.3
"280.000000
","213.000000
",1,-63.8
"728.000000
","214.000000
",54,-78.4
"728.000000
","214.000000
",54,-74.8
"728.000000
","214.000000
",54,-81.1
"357.000000
","273.000000
",1,-110
"357.000000
","273.000000
",1,-105.5
"357.000000
","273.000000
",1,-100.6
"567.000000
","310.000000
",54,-100.8
"567.000000
","310.000000
",54,-101.1
"567.000000
","310.000000
",54,-95.5
"567.000000
","310.000000
",54,-101.6
"444.000000
","123.000000
",2,-81.9
"444.000000
","123.000000
",2,-83.4
"444.000000
","123.000000
",2,-82.6
"444.000000
","123.000000
",2,-84.9
"444.000000
","123.000000
",2,-82.4
"742.000000
","286.000000
",3,-99.3
"742.000000
","286.000000
",3,-96.1
"742.000000
","286.000000
",3,-94.6
"742.000000
","286.000000
",3,-94.8
"595.000000
","280.000000
",54,-93.6
"595.000000
","280.000000
",54,-96.7
"595.000000
","280.000000
",54,-94.3
"595.000000
","280.000000
",54,-87.4
"282.000000
","227.000000
",1,-68.9
"282.000000
","227.000000
",1,-69.4
"282.000000
","227.000000
",1,-70
"595.000000
","251.000000
",54,-86
"595.000000
","251.000000
",54,-86.9
"595.000000
","251.000000
",54,-84.6
"595.000000
","251.000000
",54,-90.4
"808.000000
","186.000000
",3,-83.4
"808.000000
","186.000000
",3,-83.4
"808.000000
","186.000000
",3,-83.7
"808.000000
","186.000000
",3,-83.9
"808.000000
","186.000000
",3,-85.2
"808.000000
","186.000000
",3,-84.8
"808.000000
","186.000000
",3,-87.8
"808.000000
","186.000000
",3,-88.4
"808.000000
","186.000000
",3,-87.5
"808.000000
","186.000000
",3,-87.2
"808.000000
","186.000000
",3,-85.3
"808.000000
","186.000000
",3,-83.8
"808.000000
","186.000000
",3,-84.1
"808.000000
","186.000000
",3,-84.9
"808.000000
","186.000000
",3,-85.9
"808.000000
","186.000000
",3,-86.5
"665.000000
","265.000000
",54,-80.4
"665.000000
","265.000000
",54,-80.5
"665.000000
","265.000000
",54,-81.4
"665.000000
","265.000000
",54,-77.8
"665.000000
","265.000000
",54,-83.7
"820.000000
","210.000000
",3,-90.9
"820.000000
","210.000000
",3,-90.8
"820.000000
","210.000000
",3,-92
"820.000000
","210.000000
",3,-90.8
"820.000000
","210.000000
",3,-94.6
"820.000000
","210.000000
",3,-94.6
"820.000000
","210.000000
",3,-93.4
"820.000000
","210.000000
",3,-94.8
"791.000000
","102.000000
",3,-80.1
"791.000000
","102.000000
",3,-77.8
"791.000000
","102.000000
",3,-76.7
"791.000000
","102.000000
",3,-74.8
"791.000000
","102.000000
",3,-77.2
"791.000000
","102.000000
",3,-78.9
"791.000000
","102.000000
",3,-76
"791.000000
","102.000000
",3,-79.8
"791.000000
","102.000000
",3,-82.1
"791.000000
","102.000000
",3,-79.4
"791.000000
","102.000000
",3,-79.8
"791.000000
","102.000000
",3,-81.9
"791.000000
","102.000000
",3,-81.9
"791.000000
","102.000000
",3,-82.8
"791.000000
","102.000000
",3,-82.6
"791.000000
","102.000000
",3,-80.8
"791.000000
","102.000000
",3,-79.9
"367.000000
","210.000000
",1,-92
"367.000000
","210.000000
",1,-92
"367.000000
","210.000000
",1,-93
"258.000000
","147.000000
",1,-96.6
"258.000000
","147.000000
",1,-90.8
"258.000000
","147.000000
",1,-92.2
"258.000000
","147.000000
",1,-93
"694.000000
","187.000000
",54,-97.8
"694.000000
","187.000000
",54,-91.4
"694.000000
","187.000000
",3,-87.1
"694.000000
","187.000000
",3,-86.2
"726.000000
","278.000000
",3,-95.9
"726.000000
","278.000000
",3,-98.9
"636.000000
","282.000000
",54,-85.6
"636.000000
","282.000000
",54,-90.1
"636.000000
","282.000000
",54,-92
"636.000000
","282.000000
",54,-84.4
"622.000000
","214.000000
",3,-91.8
"622.000000
","214.000000
",3,-91.1
"622.000000
","214.000000
",3,-93.7
"753.000000
","212.000000
",3,-83.8
"753.000000
","212.000000
",3,-87.4
"753.000000
","212.000000
",3,-87.8
"753.000000
","212.000000
",3,-87.1
"753.000000
","212.000000
",3,-87.9
"753.000000
","212.000000
",3,-88.8
"753.000000
","212.000000
",3,-86.4
"753.000000
","212.000000
",3,-87.8
"753.000000
","212.000000
",3,-86.1
"753.000000
","212.000000
",3,-82.8
"753.000000
","212.000000
",3,-84.8
"503.000000
","177.000000
",2,-78.9
"503.000000
","177.000000
",2,-78.7
"503.000000
","177.000000
",2,-78.9
"503.000000
","177.000000
",2,-77.1
"503.000000
","177.000000
",2,-72.6
"731.000000
","195.000000
",3,-79.8
"731.000000
","195.000000
",3,-80.6
"731.000000
","195.000000
",3,-81
"731.000000
","195.000000
",3,-77.9
"731.000000
","195.000000
",3,-78.1
"731.000000
","195.000000
",3,-79.7
"731.000000
","195.000000
",3,-81.6
"731.000000
","195.000000
",3,-81.4
"731.000000
","195.000000
",3,-81.2
"731.000000
","195.000000
",3,-81.1
"731.000000
","195.000000
",3,-80.9
"731.000000
","195.000000
",3,-80.5
"731.000000
","195.000000
",3,-79.4
"731.000000
","195.000000
",3,-80.4
"731.000000
","195.000000
",3,-80.3
"731.000000
","195.000000
",3,-80.9
"731.000000
","195.000000
",3,-79.6
"731.000000
","195.000000
",3,-79.8
"731.000000
","195.000000
",3,-82.6
"731.000000
","195.000000
",3,-81.9
"731.000000
","195.000000
",3,-80.1
"731.000000
","195.000000
",3,-79.4
"731.000000
","195.000000
",3,-78.8
"731.000000
","195.000000
",3,-78.9
"731.000000
","195.000000
",3,-81.3
"731.000000
","195.000000
",3,-82.3
"731.000000
","195.000000
",3,-83.2
"731.000000
","195.000000
",3,-80.6
"731.000000
","195.000000
",3,-80.7
"731.000000
","195.000000
",3,-78.4
"127.000000
","189.000000
",1,-102.9
"127.000000
","189.000000
",1,-105.6
"127.000000
","189.000000
",1,-105.9
"127.000000
","189.000000
",1,-107.3
"127.000000
","189.000000
",1,-102.1
"127.000000
","189.000000
",1,-102.1
"127.000000
","189.000000
",1,-101.6
"127.000000
","189.000000
",1,-103.1
"206.000000
","118.000000
",1,-103.6
"206.000000
","118.000000
",1,-100.3
"206.000000
","118.000000
",1,-95.3
"206.000000
","118.000000
",1,-97.4
"350.000000
","135.000000
",2,-103.3
"350.000000
","135.000000
",2,-101.9
"350.000000
","135.000000
",2,-103.1
"350.000000
","135.000000
",2,-104.6
"350.000000
","135.000000
",2,-102.4
"764.000000
","136.000000
",3,-79.2
"764.000000
","136.000000
",3,-80
"764.000000
","136.000000
",3,-80.3
"764.000000
","136.000000
",3,-80.5
"764.000000
","136.000000
",3,-78.9
"764.000000
","136.000000
",3,-81.6
"764.000000
","136.000000
",3,-76.2
"764.000000
","136.000000
",3,-75.1
"764.000000
","136.000000
",3,-81.3
"588.000000
","255.000000
",54,-84.6
"588.000000
","255.000000
",54,-86.1
"588.000000
","255.000000
",54,-86.4
"777.000000
","179.000000
",3,-75.3
"777.000000
","179.000000
",3,-75.1
"777.000000
","179.000000
",3,-75.2
"777.000000
","179.000000
",3,-74.6
"777.000000
","179.000000
",3,-74.4
"777.000000
","179.000000
",3,-75.8
"777.000000
","179.000000
",3,-76.4
"777.000000
","179.000000
",3,-74.2
"777.000000
","179.000000
",3,-74.9
"777.000000
","179.000000
",3,-73.4
"777.000000
","179.000000
",3,-73
"777.000000
","179.000000
",3,-73.1
"777.000000
","179.000000
",3,-72.8
"777.000000
","179.000000
",3,-71.1
"777.000000
","179.000000
",3,-72
"777.000000
","179.000000
",3,-71.1
"777.000000
","179.000000
",3,-75
"777.000000
","179.000000
",3,-75.7
"132.000000
","211.000000
",1,-95.9
"132.000000
","211.000000
",1,-96.8
"132.000000
","211.000000
",1,-95.7
"132.000000
","211.000000
",1,-95.8
"132.000000
","211.000000
",1,-96.2
