location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename
904,166,120,-128.4,-14.4,-0.9,41:07.3,18Jun07_113935.1.nmf
904,166,120,-128.5,-13.8,-0.8,41:08.1,18Jun07_113935.1.nmf
904,166,120,-127.5,-12.9,-1.1,41:08.6,18Jun07_113935.1.nmf
904,166,120,-128.4,-13.7,-1.4,41:09.2,18Jun07_113935.1.nmf
904,166,120,-128.5,-13.7,-1.1,41:09.6,18Jun07_113935.1.nmf
904,166,120,-128.9,-13.8,-2.2,41:10.3,18Jun07_113935.1.nmf
904,166,120,-129.8,-14.6,-2.9,41:11.4,18Jun07_113935.1.nmf
904,166,120,-130.5,-15.4,-2.5,41:11.6,18Jun07_113935.1.nmf
904,166,120,-130.8,-15.5,-3,41:12.6,18Jun07_113935.1.nmf
904,166,120,-133.3,-17.8,-4.1,41:12.9,18Jun07_113935.1.nmf
904,166,120,-131.9,-16.6,-4.5,41:13.8,18Jun07_113935.1.nmf
904,166,120,-130.6,-15.8,-2.7,41:14.1,18Jun07_113935.1.nmf
904,166,120,-131.8,-16.7,-4.5,41:15.0,18Jun07_113935.1.nmf
904,166,120,-132.3,-17.1,-6.3,41:15.4,18Jun07_113935.1.nmf
904,166,120,-133.3,-18.1,-7.8,41:16.2,18Jun07_113935.1.nmf
904,166,301,-113.6,-10.6,-6.9,41:17.1,18Jun07_113935.1.nmf
904,166,120,-128.3,-13.4,-0.5,41:35.9,18Jun07_113935.1.nmf
904,166,120,-127.9,-13.1,-1.4,41:36.5,18Jun07_113935.1.nmf
904,166,120,-127.9,-12.8,-1,41:37.1,18Jun07_113935.1.nmf
904,166,120,-127.8,-12.9,-1.2,41:38.0,18Jun07_113935.1.nmf
904,166,120,-128,-13.3,-0.4,41:38.6,18Jun07_113935.1.nmf
904,166,120,-129.6,-14.9,-4.1,41:39.2,18Jun07_113935.1.nmf
904,166,120,-130.8,-14.9,-3.2,41:39.7,18Jun07_113935.1.nmf
904,166,120,-131.4,-14.9,-3.9,41:40.8,18Jun07_113935.1.nmf
904,166,120,-136.1,-20,-4.3,41:41.1,18Jun07_113935.1.nmf
904,166,120,-134.5,-17.7,-2.5,41:41.6,18Jun07_113935.1.nmf
904,166,120,-132.6,-15,-2.4,41:42.8,18Jun07_113935.1.nmf
904,166,120,-131.9,-16.1,-5.8,41:42.9,18Jun07_113935.1.nmf
904,166,120,-129.8,-16.2,-5.4,41:44.0,18Jun07_113935.1.nmf
904,166,120,-131.3,-15,-1.5,41:44.6,18Jun07_113935.1.nmf
894,150,120,-128.4,-13.8,-0.6,42:00.5,18Jun07_114054.1.nmf
894,150,120,-128.2,-14.1,-1,42:00.8,18Jun07_114054.1.nmf
894,150,120,-128.8,-14.1,-2.6,42:01.5,18Jun07_114054.1.nmf
894,150,120,-128.5,-14,-2.2,42:02.6,18Jun07_114054.1.nmf
894,150,120,-128.6,-13.8,-3.8,42:03.3,18Jun07_114054.1.nmf
894,150,120,-127.9,-13.3,-1.4,42:03.8,18Jun07_114054.1.nmf
894,150,120,-125.9,-11.8,1,42:04.6,18Jun07_114054.1.nmf
894,150,120,-131.4,-16.8,-1,42:05.9,18Jun07_114054.1.nmf
894,150,120,-130.9,-15.9,-2.8,42:07.0,18Jun07_114054.1.nmf
894,150,120,-129.8,-15.3,-1.2,42:07.6,18Jun07_114054.1.nmf
894,150,120,-129.1,-14.4,0.1,42:08.2,18Jun07_114054.1.nmf
894,150,120,-127.1,-12.6,0.8,42:08.9,18Jun07_114054.1.nmf
894,150,120,-125.9,-11.9,1.6,42:09.1,18Jun07_114054.1.nmf
894,150,120,-126.1,-12,0.1,42:10.0,18Jun07_114054.1.nmf
894,150,120,-127.4,-12.8,-2.2,42:11.0,18Jun07_114054.1.nmf
894,150,120,-126.5,-12.3,0.2,42:11.2,18Jun07_114054.1.nmf
894,150,120,-126.6,-12.3,0,42:12.1,18Jun07_114054.1.nmf
894,150,120,-125.7,-11.9,1.2,42:12.5,18Jun07_114054.1.nmf
894,150,120,-124.2,-10.8,2.8,42:13.4,18Jun07_114054.1.nmf
894,150,120,-127.5,-13.9,2.3,42:14.2,18Jun07_114054.1.nmf
894,150,120,-125.2,-11.8,1.9,42:15.0,18Jun07_114054.1.nmf
894,150,120,-125.9,-11.9,0.7,42:15.7,18Jun07_114054.1.nmf
894,150,120,-127.7,-13.2,-0.1,42:16.6,18Jun07_114054.1.nmf
894,150,120,-129.7,-14.9,-5,42:17.6,18Jun07_114054.1.nmf
894,150,120,-130.7,-15.7,-5.2,42:18.2,18Jun07_114054.1.nmf
894,150,120,-127.9,-13.6,-2.2,42:19.4,18Jun07_114054.1.nmf
894,150,120,-128.9,-14.4,-0.1,42:19.9,18Jun07_114054.1.nmf
894,150,120,-126.9,-12.6,0.8,42:21.2,18Jun07_114054.1.nmf
