location_x,location_y,PCI,RSRP
6.7405,14.6905,37,-91.026573
7.0285,16.699,37,-105.6
7.036,12.3115,37,-91.04537
8.806,16.654,37,-96.990385
8.8765,14.755,37,-98.263889
8.938,12.5005,37,-89.002609
9.676,13.549,37,-86.807843
11.2135,13.3915,37,-77.735028
11.395,15.877,37,-96.421198
11.5825,18.5995,37,-99.591275
11.7325,24.5245,37,-98.239362
11.779,21.6775,37,-94.09633
12.754,13.3525,37,-85.411858
13.675,21.6295,37,-93.030542
13.975,5.377,37,-90.631163
14.647,13.186,37,-76.389916
15.4525,21.5845,37,-96.195261
15.7495,5.2135,37,-93.514612
16.309,13.2625,37,-77.854656
16.612,15.8635,37,-87.358091
16.8745,21.5485,37,-89.542453
16.915,18.4645,37,-93.83211
17.17,9.802,37,-83.654128
17.1775,5.4145,37,-87.748148
17.2435,8.0215,37,-90.114
17.4205,24.3805,37,-94.71
18.205,13.2145,37,-74.553913
18.412,21.391,37,-86.534434
18.5995,5.3785,37,-85.88583
19.1875,19.237,37,-81.345946
19.189,14.6125,37,-75.813008
19.219,15.7975,37,-81.87012
19.264,17.575,37,-81.915444
19.5745,6.421,37,-79.573129
19.6105,7.843,37,-77.019512
19.6555,9.6205,37,-76.331301
19.6945,11.161,37,-74.626582
19.7425,13.057,37,-67.741971
20.539,21.1,37,-83.163033
21.2035,5.194,37,-90.43254
21.6445,13.246,37,-61.540517
22.0795,21.061,37,-88.421875
22.837,8.8285,37,-85.244523
22.8985,15.9415,37,-79.0236
22.9525,18.0745,37,-79.61711
23.221,23.9965,37,-93.270395
23.656,13.0765,37,-66.839286
23.8135,5.2465,37,-87.340909
24.2095,20.8885,37,-90.61165
25.4695,5.086,37,-90.427315
25.552,13.0285,37,-67.527586
26.1085,20.959,37,-94.777612
26.767,4.816,37,-86.909545
26.839,7.66,37,-82.535769
26.881,9.319,37,-78.477689
26.9245,6.3535,37,-85.687143
26.929,11.215,37,-75.40239
26.974,12.9925,37,-76.535573
27.8725,15.697,37,-87.103586
27.9325,18.067,37,-91.014458
28.12,20.7895,37,-93.509449
28.7515,12.9475,37,-74.601969
29.0305,23.968,37,-97.945192
29.383,5.1055,37,-87.289212
29.6665,20.9875,37,-98.249682
29.6665,20.9875,38,-111.742857
30.526,12.784,37,-75.326984
30.7555,7.798,37,-88.666667
30.7945,9.3385,37,-90.398673
30.805,5.0695,37,-94.066341
31.204,20.83,37,-93.359809
31.843,17.968,37,-93.398077
31.9045,15.7135,37,-98.335294
32.0695,12.8635,37,-81.041004
32.461,4.909,37,-97.07772
32.863,20.788,37,-95.927723
32.863,20.788,38,-108.2
33.844,12.7,37,-81.499134
33.8725,9.142,37,-97.219444
33.949,7.48,37,-99.420339
34.0045,4.9885,37,-99.120379
34.045,20.6395,37,-99.3
34.045,20.6395,38,-110.12
34.7185,23.824,37,-96.947414
35.503,12.658,37,-83.623944
35.6425,4.117,37,-100.55
35.8345,21.0685,37,-107.6
35.8345,21.0685,38,-110.25
37.0165,2.185,37,-108.35
37.606,20.7865,37,-102.423529
37.606,20.7865,38,-103.744118
37.636,12.604,37,-91.163033
37.7665,3.7075,37,-105.966667
37.8025,23.8645,37,-109.98125
37.8025,23.8645,38,-111.280645
38.5735,7.4815,37,-99.759524
38.6155,9.1405,37,-97.068508
39.04,21.2245,37,-106.4
39.04,21.2245,38,-97.270536
39.301,12.799,37,-89.777778
39.6715,4.015,37,-104.308824
40.699,21.1825,38,-94.995131
41.0995,4.216,37,-108.93
41.164,2.08,37,-107.7125
41.263,24.7255,38,-91.835036
41.5525,12.742,37,-94.581944
41.5765,23.0575,38,-94.760643
42.0025,21.1495,38,-96.261176
43.156,24.559,38,-92.803344
43.327,12.5785,37,-88.571728
43.4215,20.995,38,-92.283399
43.4725,23.0095,38,-93.26654
44.6305,12.5455,37,-85.778199
45.0775,20.8345,38,-89.924268
45.1705,24.508,38,-93.265683
45.25,22.9645,38,-92.128244
46.645,12.4945,38,-90.818288
46.8295,24.466,38,-92.63629
46.909,22.9225,38,-87.413619
47.092,20.7835,38,-78.88806
49.1785,23.5765,38,-85.338039
49.549,14.7925,38,-79.72
49.693,20.4805,38,-79.552593
49.834,16.6825,38,-75.01063
49.8475,12.532,38,-80.438722
49.879,18.46,38,-65.92554
51.8935,18.409,38,-69.382677
52.0255,23.623,38,-87.356126
52.099,12.475,38,-80.14
52.153,14.608,38,-78.771429
52.1845,20.536,38,-83.96378
52.204,16.6225,38,-72.331452
53.755,12.3145,38,-79.185827
53.8435,20.494,38,-78.621912
53.908,18.358,38,-77.214607
53.9815,16.5775,38,-75.864173
54.049,14.56,38,-81.469259
54.8695,23.551,38,-89.157519
55.5385,12.5065,38,-90.45045
55.63,20.8045,38,-83.8012
56.6275,8.6845,38,-102.909091
56.6275,8.6845,39,-113.622222
56.6275,8.6845,40,-114.812903
56.878,4.528,38,-115.7
56.878,4.528,39,-119.933333
56.878,4.528,40,-112.85
57.022,0.8485,38,-118.983333
57.022,0.8485,39,-120.118519
57.022,0.8485,40,-118.422222
57.067,2.626,38,-116.175
57.067,2.626,39,-120.154545
57.067,2.626,40,-116.530769
57.076,12.349,38,-93.539442
57.4735,23.3665,38,-93.382353
57.997,20.626,38,-86.098842
58.735,12.307,38,-97.425
58.735,12.307,39,-98.9425
59.593,8.728,38,-103.566667
59.593,8.728,39,-115.866667
59.593,8.728,40,-110.815152
59.6605,6.7105,38,-106.955556
59.6605,6.7105,39,-113.168182
59.6605,6.7105,40,-110.385
59.731,23.5465,38,-97.376923
60.0115,20.575,38,-92.964898
60.2275,1.0045,38,-119.15
60.2275,1.0045,39,-114.033333
60.2275,1.0045,40,-106.45
60.394,12.265,38,-101.866667
60.394,12.265,39,-100.185714
61.4335,20.539,38,-91.619903
61.5565,6.6625,38,-113.96
61.5565,6.6625,39,-109.633333
61.5565,6.6625,40,-106.6
61.6975,12.232,39,-95.663672
61.723,8.5555,38,-112.2
61.723,8.5555,39,-107.8
61.723,8.5555,40,-110.1
61.9825,23.4895,38,-101.433333
62.5,20.512,38,-95.779151
63.0715,0.9325,39,-115.427778
63.0715,0.9325,40,-105.675
63.235,12.0745,39,-90.236179
64.039,6.3625,39,-106.035714
