location_x,location_y,PCI,RSRP
6.9745,14.566,37,-111.464
6.9745,14.566,39,-111.636842
7.033,12.193,37,-115.11875
7.033,12.193,39,-118.2125
8.755,14.6395,37,-115.05
8.755,14.6395,39,-119.633333
8.803,16.5355,37,-125.67037
8.803,16.5355,39,-125.677778
8.929,12.145,37,-119.542857
8.929,12.145,39,-117.366667
9.5515,13.315,37,-102.018182
9.5515,13.315,39,-102.246667
11.2135,13.3915,37,-98.595882
11.2135,13.3915,39,-113.7
12.8665,13.1125,37,-97.625455
12.8665,13.1125,39,-102.02
14.5285,13.189,37,-97.439394
16.4215,13.0225,37,-94.520952
18.3205,13.093,37,-94.156693
19.858,12.9355,37,-86.687
21.757,13.006,37,-81.422344
23.656,13.0765,37,-79.892424
25.549,12.91,37,-85.310037
26.971,12.874,37,-91.176995
28.7515,12.9475,37,-96.844369
30.76,12.6595,37,-96.84802
30.76,12.6595,39,-99.15
32.0665,12.745,37,-99.597872
32.0665,12.745,39,-104.660714
33.844,12.7,39,-97.6
35.503,12.658,37,-105.8
35.503,12.658,39,-105.5
37.636,12.604,37,-113.95
37.636,12.604,39,-96.924215
41.26,24.607,38,-100.16087
41.26,24.607,39,-119.417647
41.5465,12.505,37,-112.6
41.5465,12.505,38,-108.5
41.5465,12.505,39,-100.92
41.5765,23.0575,38,-100.818349
41.9965,20.9125,38,-96.6277
41.9965,20.9125,41,-112.5
44.8645,12.421,38,-101.35
44.8645,12.421,39,-94.43945
45.049,24.3925,38,-96.278947
46.948,24.463,38,-90.365642
47.0275,22.9195,38,-91.889646
47.2075,20.662,38,-86.19004
49.1785,23.5765,38,-90.190456
49.6675,14.7895,38,-77.682243
49.726,12.4165,38,-89.866879
49.726,12.4165,39,-92.957692
49.9465,16.4425,38,-76.638889
52.102,12.5935,38,-82.891244
52.1275,18.2845,38,-75.129018
52.1845,20.536,38,-84.123554
55.5325,12.2695,39,-87.468382
57.115,4.522,39,-100.118182
57.592,23.3635,38,-98.02479
57.994,20.5075,38,-87.2125
59.6635,6.829,39,-95.587603
59.7715,20.4625,38,-92.614035
59.8465,23.425,38,-104.1
59.8465,23.425,41,-105.3
60.154,12.1525,39,-83.7956
61.5475,6.307,39,-90.420779
62.953,0.9355,39,-94.553052
63.235,12.0745,39,-78.395547
63.9235,6.484,39,-83.718809
65.4595,20.3185,38,-106.55
65.4595,20.3185,41,-98.759028
67.6375,3.307,39,-88.437023
67.84,6.622,39,-78.953672
68.5705,12.058,39,-64.157551
68.893,20.113,38,-111.2
68.893,20.113,41,-99.772761
69.3835,6.7015,39,-74.949064
70.1425,17.947,39,-90.049425
70.1425,17.947,41,-88.98838
70.5145,13.906,39,-84.245174
70.9555,3.223,39,-88.205714
70.9555,3.223,40,-87.493902
71.3215,8.3125,39,-79.265
72.514,22.63,41,-86.862613
72.532,13.9735,39,-80.688103
72.5965,11.8375,39,-73.140161
73.1275,4.7095,40,-82.876991
74.0785,14.1715,39,-86.221818
74.29,17.842,39,-87.65
74.29,17.842,41,-88.412234
74.4955,11.908,39,-82.179498
74.5015,2.7775,40,-81.488835
74.995,8.2195,39,-88.751965
74.995,8.2195,40,-91.235897
76.147,16.2535,41,-83.532841
76.15,16.372,41,-80.038741
76.309,13.285,41,-84.207823
76.39,16.4845,41,-80.496026
77.1595,4.726,40,-88.072614
78.532,16.786,41,-76.297765
78.5575,13.1095,41,-78.283793
78.5995,14.7685,41,-76.835686
79.123,2.6605,40,-84.278667
79.4065,18.5425,41,-79.645848
79.5625,15.337,41,-68.133667
79.867,22.681,41,-72.524198
79.9465,11.77,39,-88.883077
79.9465,11.77,41,-77.066667
80.3185,7.729,41,-85.04125
80.9755,14.9455,41,-65.191753
82.2175,7.7995,41,-83.002448
82.3705,4.4755,41,-89.171094
82.5985,22.849,41,-72.279404
82.834,18.1,41,-59.969203
83.2585,11.449,41,-79.418359
83.7535,2.899,41,-95.221198
84.781,20.0665,41,-66.618257
85.5325,7.597,41,-90.825163
85.6,14.947,41,-68.290438
86.386,17.8915,41,-74.073106
86.8165,11.4775,41,-80.191667
87.0085,9.694,41,-89.071364
87.025,15.0295,41,-66.017407
87.7915,21.8875,41,-78.472519
88.2745,12.8635,41,-76.240249
88.3645,16.4185,41,-75.273656
89.32,2.6395,40,-101.885294
89.32,2.6395,41,-101.835714
89.446,7.6165,41,-89.803604
89.86,23.9695,41,-82.337321
90.0835,18.7465,41,-81.501325
90.3715,11.3875,41,-85.003084
90.772,13.156,41,-81.167925
92.17,21.5395,41,-83.068259
93.571,11.3065,41,-91.098157
94.3645,9.8635,39,-111.533333
94.3645,9.8635,41,-104.2
94.3645,9.8635,42,-105.633333
94.369,14.725,39,-112.05
94.369,14.725,41,-109.316667
94.369,14.725,42,-102.15
96.2635,9.934,41,-94.762562
97.945,15.4645,42,-84.684774
98.254,18.3025,42,-73.08995
100.075,15.292,42,-75.438627
100.1575,13.867,42,-100.48
100.2655,18.133,42,-75.965236
102.1315,16.9,42,-69.266019
