location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,a301_beam0,a301_beam32,a301_beam64,a301_beam96,a301_beam128,a302_beam0,a302_beam32,a302_beam64,a302_beam96,a302_beam128,setname
651,210,302,-99.12360248,-6.735403727,,,,-10,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set3.csv
674,210,302,-103.5362245,-6.870918367,,,,-9,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set7.csv
675,209,120,-133.0666667,-18.16666667,,,,-10,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set2.csv
675,209,301,-120.6,-16.03333333,,,,-10,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set2.csv
675,209,302,-108.15,-8.475,,,,-10,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set2.csv
676,209,302,-95.4989011,-6.662637363,,,,-10,0,1,0,1,0,0,1,0,0,0,0,demo_priority_4/set4.csv
678,209,151,-127.188785,-14.96074766,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
678,209,154,-127.0666667,-17.86666667,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
678,209,302,-98.81968912,-6.207772021,,,,-10,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set3.csv
678,209,302,-100.1034483,-6.003448276,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
679,207,151,-124.8227778,-11.62888889,,,,-5,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set7.csv
679,208,120,-129.9333333,-16.03333333,,,,-5,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set5.csv
679,208,151,-127.3666667,-14.4047619,,,,-10,-10,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set1.csv
679,208,151,-126.62,-14.71333333,,,,-5,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set5.csv
679,208,154,-126.6458065,-19.04903226,,,,-10,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set1.csv
679,208,154,-126.9,-24.15,,,,-10,-10,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set1.csv
679,208,154,-126.6458065,-19.04903226,,,,-9,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set6.csv
679,208,302,-105.8545455,-6.927272727,,,,-10,-10,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set1.csv
679,208,302,-107.3521739,-9.430434783,,,,-5,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set5.csv
679,209,151,-126.8306878,-14.61957672,,,,-10,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set1.csv
679,209,302,-106.607563,-6.899152542,,,,-10,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set2.csv
679,241,151,-126.0111111,-12.35555556,,,,-9,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set5.csv
679,241,154,-120.2768519,-11.38333333,,,,-9,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set5.csv
680,207,151,-125.62,-12.83,,,,-10,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set4.csv
680,207,154,-126.7,-27.06666667,,,,-10,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set4.csv
680,207,302,-104.3048276,-7.129655172,,,,-10,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set4.csv
680,207,302,-98.54918699,-6.418292683,,,,-10,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set2.csv
680,207,302,-97.82514286,-6.202857143,,,,-10,-5,1,0,0,0,0,1,0,0,0,0,demo_priority_3/set1.csv
680,235,154,-121.1369159,-11.9364486,,,,-5,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set6.csv
680,235,302,-116.6,-11,,,,-5,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set6.csv
680,236,151,-124.0333333,-12,,,,-5,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set5.csv
680,236,154,-120.0162879,-11.10416667,,,,-5,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set5.csv
680,237,154,-118.6845794,-9.678971963,,,,-10,-10,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set1.csv
680,238,154,-123.1046512,-14.7172093,,,,-10,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set2.csv
680,240,154,-108.8591837,-9.998979592,,,,-9,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set4.csv
680,242,154,-122.5345679,-13.31358025,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
680,242,154,-121.849162,-13.19217877,,,,-9,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set6.csv
681,206,302,-91.89897959,-6.480612245,,,,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
681,207,302,-97.22263158,-6.666315789,,,,-10,0,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set2.csv
681,208,151,-126.1689119,-12.92176166,,,,-9,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set5.csv
681,209,302,-104.7320346,-6.589177489,,,,-10,-10,1,0,1,0,0,1,0,0,0,0,demo_priority_4/set3.csv
681,210,301,-82.75774648,-6.252816901,,,,-10,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set3.csv
681,237,154,-123.1688679,-14.28207547,,,,-10,-5,1,0,0,0,0,1,0,0,0,0,demo_priority_3/set1.csv
681,238,154,-125.6630682,-18.76436782,,,,-10,0,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set2.csv
681,238,302,-107.5,-9.1,,,,-10,0,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set2.csv
681,239,302,-119.5029412,-12.87352941,,,,-10,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set2.csv
681,244,154,-122.4317365,-11.09341317,,,,-5,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set7.csv
682,208,301,-102.9104294,-6.430674847,,,,-9,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set4.csv
682,210,302,-102.0460784,-6.650980392,,,,-5,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set6.csv
682,239,154,-119.3217195,-11.43891403,,,,-9,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set5.csv
683,209,120,-133.4,-17.9,,,,-9,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set5.csv
683,211,302,-103.55,-6.969642857,,,,-9,-10,0,0,1,0,0,1,0,0,0,0,demo_priority_1/set6.csv
683,239,120,-136.8,-21.26923077,,,,-9,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set7.csv
683,239,154,-118.1939394,-10.07186147,,,,-10,-10,1,0,1,0,0,1,0,0,0,0,demo_priority_4/set3.csv
683,239,301,-109.9942857,-9.017142857,,,,-9,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set7.csv
683,243,120,-125.9243902,-13.84085366,,,,-10,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set4.csv
683,244,154,-122.071345,-15.15555556,,,,-10,0,1,0,1,0,0,1,0,0,0,0,demo_priority_4/set4.csv
684,218,120,-133.76,-18.66,,,,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
684,218,301,-121.2,-16.9,,,,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
684,218,302,-111.8307692,-9.661538462,,,,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
684,241,154,-119.1750916,-13.64249084,,,,-10,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set3.csv
684,241,154,-123.4647059,-10.95117647,,,,-9,-10,0,0,1,0,0,1,0,0,0,0,demo_priority_1/set6.csv
684,241,302,-112.3575758,-9.751515152,,,,-10,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set3.csv
684,243,154,-122.5235294,-12.93872549,,,,-10,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set1.csv
684,268,120,-123.1327273,-12.83136364,,,,-10,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set2.csv
684,269,120,-121.3349057,-9.253773585,,,,-10,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set4.csv
684,270,302,-119.8617647,-11.77058824,,,,-9,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set7.csv
684,284,154,-114.7412429,-7.747457627,,,,-9,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set6.csv
684,286,154,-108.0247863,-7.53974359,,,,-10,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set3.csv
684,287,120,-118.357197,-10.51325758,,,,-10,-10,0,0,1,0,0,1,0,0,0,0,demo_priority_1/set3.csv
684,287,302,-99.56463878,-6.362357414,,,,-10,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set2.csv
684,288,154,-111.3790244,-9.935121951,,,,-10,0,1,0,1,0,0,1,0,0,0,0,demo_priority_4/set4.csv
684,288,154,-113.3693182,-7.228409091,,,,-9,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set5.csv
684,289,151,-115.4767857,-10.65714286,,,,-9,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set4.csv
684,289,154,-113.55875,-9.355625,,,,-9,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set4.csv
684,289,154,-108.7845361,-9.720103093,,,,-9,-10,0,0,1,0,0,1,0,0,0,0,demo_priority_1/set6.csv
684,296,120,-117.9473214,-11.15044643,,,,-9,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set5.csv
685,185,302,-117.8428571,-10.45714286,,,,-10,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set2.csv
685,267,151,-111.1944444,-7.655555556,,,,-10,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set3.csv
685,267,154,-106.6243243,-7.690733591,,,,-10,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set3.csv
685,269,154,-111.9505618,-8.020599251,,,,-10,0,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set2.csv
685,269,154,-105.7368421,-7.290350877,,,,-9,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set6.csv
685,270,154,-109.5174721,-7.088475836,,,,-10,-5,1,0,0,0,0,1,0,0,0,0,demo_priority_3/set1.csv
685,270,154,-108.2283019,-7.713679245,,,,-9,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set5.csv
685,270,154,-109.6189591,-7.437918216,,,,-5,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set5.csv
685,271,151,-113.0106383,-8.287234043,,,,-9,-10,0,0,1,0,0,1,0,0,0,0,demo_priority_1/set6.csv
685,271,154,-110.8490494,-7.770722433,,,,-10,-10,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set1.csv
685,271,154,-111.3783784,-7.224324324,,,,-9,-10,0,0,1,0,0,1,0,0,0,0,demo_priority_1/set6.csv
685,286,151,-110.6432927,-7.393292683,,,,-10,-10,1,0,1,0,0,1,0,0,0,0,demo_priority_4/set3.csv
685,288,151,-126.8862745,-13.01568627,,,,-10,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set3.csv
685,288,151,-114.6916667,-8.033333333,,,,-10,0,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set2.csv
685,288,151,-110.9875,-8.1375,,,,-5,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set6.csv
685,288,154,-124.7361842,-14.39210526,,,,-10,-12,0,1,1,0,0,1,0,0,0,0,demo_priority_2/set3.csv
685,288,154,-112.5919431,-10.30900474,,,,-10,0,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set2.csv
685,288,154,-116.5571429,-9.785714286,,,,-5,-5,0,0,1,0,0,1,0,0,0,0,demo_priority_3/set6.csv
685,290,154,-111.6005102,-9.638265306,,,,-9,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set7.csv
685,291,120,-117.584965,-8.201748252,,,,-10,-10,0,1,1,0,0,1,0,0,0,0,demo_priority_1/set4.csv
685,292,154,-114.026455,-7.698941799,,,,-10,-12,0,1,0,0,0,1,0,0,0,0,demo_priority_2/set1.csv
686,253,120,-126.595092,-13.39202454,,,,-10,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set2.csv
686,268,154,-111.2981818,-7.416363636,,,,-10,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set2.csv
686,269,120,-120.1855172,-9.2,,,,-10,-10,0,0,1,0,0,1,0,0,0,0,demo_priority_1/set3.csv
686,269,154,-108.004,-7.283111111,,,,-9,-12,0,0,1,0,0,1,0,0,0,0,demo_priority_2/set5.csv
686,282,154,-110.6284553,-8.05203252,,,,-10,-5,1,0,0,0,0,1,0,0,0,0,demo_priority_3/set1.csv
686,286,151,-119.2666667,-10.03333333,,,,-5,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set7.csv
686,286,154,-119.05,-10.1,,,,-5,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set7.csv
686,286,302,-95.25,-13.2,,,,-5,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set7.csv
686,287,154,-106.7390374,-6.894652406,,,,-5,-5,0,1,0,0,0,1,0,0,0,0,demo_priority_3/set5.csv
686,288,120,-121.5075581,-9.547674419,,,,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
687,185,302,-121.3941176,-12.49411765,,,,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
687,208,302,-105.6829268,-7.192682927,,,,-10,-10,0,1,0,0,0,1,0,0,0,0,demo_priority_1/set2.csv
687,241,154,-118.7333333,-12.67555556,,,,-10,-10,1,1,0,0,0,1,0,0,0,0,demo_priority_4/set1.csv
687,269,154,-106.8082569,-7.894036697,,,,-10,-10,1,0,1,0,0,1,0,0,0,0,demo_priority_4/set3.csv
687,269,154,-109.7702128,-7.22893617,,,,-5,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set7.csv
687,285,120,-114.1,-11.3,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
687,285,151,-115.74,-11.78,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
687,285,154,-113.2666667,-11.2,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
687,285,302,-109.24,-11.22,,,,-10,-5,0,1,1,0,0,1,0,0,0,0,demo_priority_3/set4.csv
