location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,6,Power_301,Power_302,a301_beam0,a301_beam32,a301_beam64,a301_beam96,a301_beam128,a302_beam0,a302_beam32,a302_beam64,a302_beam96,a302_beam128,setname
681,206,302,-91.89897959,-6.480612245,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
684,218,120,-133.76,-18.66,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
684,218,301,-121.2,-16.9,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
684,218,302,-111.8307692,-9.661538462,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
686,288,120,-121.5075581,-9.547674419,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
687,185,302,-121.3941176,-12.49411765,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
688,138,302,-118.2785714,-11.15,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
688,153,302,-120.4588235,-11.78235294,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
688,179,302,-120.059375,-11.153125,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
688,268,120,-121.2858639,-11.26910995,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
691,249,120,-134.2777778,-19.65555556,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
691,249,302,-117.9,-10.99090909,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
695,172,302,-101.8137255,-6.780392157,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
695,198,120,-134.09,-19.43,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
696,185,302,-120.14,-11.62,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
696,206,120,-133.575,-18.4,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
696,206,301,-123.88,-18.42,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
696,206,302,-110.7935484,-9.703225806,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
700,217,302,-106.568,-7.082,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
701,305,120,-116.2077348,-7.464640884,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
702,205,301,-103.1833333,-8.883333333,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
702,205,302,-98.77757009,-7.314953271,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
702,292,120,-121.2130952,-9.3875,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
703,176,302,-118.7,-11.42,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
703,199,302,-117.3,-10.72,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
703,272,120,-123.8176871,-11.58435374,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
704,190,302,-116.8571429,-10.78571429,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
705,246,120,-130.85,-16.3,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
705,246,302,-115.5642857,-10.32857143,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
706,131,302,-113.8,-10.39473684,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
706,145,302,-122.7769231,-12.73846154,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
708,165,302,-115.137931,-10.37241379,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
708,255,120,-129.0315789,-14.63157895,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
708,255,302,-105.5421053,-9.110526316,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
711,142,120,-135.6,-20.9,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
711,142,302,-123.2433333,-13.41,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
711,159,302,-120.0764706,-11.55882353,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
712,180,302,-114.0777778,-10.17222222,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
712,216,302,-101.4851064,-6.979787234,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
712,304,120,-115.6845304,-8.216022099,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
712,304,302,-123.6,-12.8,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
713,130,120,-137.575,-22.4,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
713,130,302,-115.2038462,-10.30384615,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
713,280,120,-116.9441718,-7.606134969,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
714,291,120,-123.0426036,-10.33372781,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
715,197,302,-106.0077778,-9.09,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
715,205,302,-106.6740741,-7.285185185,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
716,113,302,-119.9625,-11.7375,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
718,155,302,-110.5785714,-9.057142857,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
719,169,302,-107.82,-8.3,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
720,129,302,-124.5285714,-13.81428571,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
721,183,302,-109.3882353,-8.817647059,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
722,236,120,-127.6105882,-13.98470588,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
722,278,120,-118.9111111,-8.627513228,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
722,278,302,-120.5,-11.1,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
723,155,302,-113.273913,-10.08695652,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
723,255,120,-127.9875,-14.9,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
723,270,120,-123.457485,-10.77245509,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
724,141,302,-98.87934783,-6.666304348,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
725,168,302,-108.7277778,-8.272222222,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
726,291,120,-123.7186047,-10.68255814,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
728,186,302,-105.8737705,-8.41147541,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
728,217,302,-95.64791667,-7.230208333,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
730,129,302,-116.16,-10.80666667,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
732,114,302,-122.1444444,-12.76666667,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
732,234,302,-103.2397959,-6.919387755,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
733,253,120,-133.6333333,-18.64166667,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
733,253,302,-112.7111111,-10.18888889,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
735,281,120,-122.8943723,-11.78831169,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
736,206,302,-86.46947368,-6.348421053,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
736,268,120,-127.7466667,-13.77666667,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
737,193,302,-94.63092784,-6.857731959,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
739,216,302,-96.265,-6.451,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
741,159,302,-120.7636364,-12.8,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
741,205,302,-66.38736842,-6.401052632,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
743,128,302,-119.0944444,-11.91944444,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
743,197,302,-103.3820896,-8.989552239,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
744,105,302,-116.5703704,-11.07407407,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
746,169,302,-115.6388889,-10.15555556,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
747,126,302,-110.4214286,-9.45,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
749,154,302,-108.1962963,-8.818518519,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
749,285,120,-121.3084577,-9.424875622,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,145,120,-131.4522727,-18.04545455,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,145,301,-117.9,-11.8,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,179,302,-115.883871,-10.8483871,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,193,302,-116.5333333,-10.55777778,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,238,302,-99.21649485,-6.942268041,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,248,120,-125.4555556,-12.05,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,248,302,-104.8125,-7.811111111,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
750,260,120,-124.2576271,-10.97062147,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
751,225,302,-97.24166667,-6.755208333,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
751,272,120,-124.9294304,-11.2585443,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
754,181,302,-126.0571429,-14.06428571,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
754,205,120,-129.6125,-15.325,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
754,205,302,-109.3380952,-8.166666667,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
754,217,302,-93.57368421,-6.655789474,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
757,137,302,-88.932,-6.369,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
758,155,120,-137.35,-22,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
758,155,302,-116.7705882,-10.78823529,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
762,171,302,-101.606383,-10.0287234,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
762,206,302,-87.64516129,-6.479569892,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
763,108,302,-117.6071429,-10.53571429,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
764,282,302,-103.6461538,-8.85042735,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
765,155,302,-113.3466667,-9.693333333,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
765,269,120,-134.5888889,-20.73333333,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
765,269,302,-119.8947368,-12.12105263,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
766,156,302,-106.2428571,-9.156190476,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
766,215,302,-94.02395833,-6.567708333,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
768,146,302,-112.8466667,-9.686666667,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
769,260,302,-103.2947917,-6.683333333,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
773,101,302,-110.4526316,-9.247368421,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
774,184,302,-96.81538462,-7.114285714,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
774,238,120,-125.0567568,-11.98648649,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
775,271,120,-122.9797753,-9.969662921,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
776,218,302,-92.85257732,-6.968041237,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
777,206,120,-127.3395973,-13.33355705,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
777,284,120,-119.6358025,-8.761728395,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
778,171,302,-121.1142857,-12.19285714,,,,0,-10,-10,1,0,0,0,0,1,0,0,0,0,demo_priority_1/set1.csv
