x,y,pci,
0,0,37,
1,0,37,
2,0,37,
3,0,37,
4,0,37,
5,0,37,
6,0,37,
7,0,37,
8,0,37,
9,0,37,
10,0,37,
11,0,38,
12,0,38,
13,0,37,
14,0,37,
15,0,37,
16,0,37,
17,0,37,
18,0,37,
19,0,37,
20,0,37,
21,0,37,
22,0,37,
23,0,37,
24,0,37,
25,0,37,
26,0,38,
27,0,38,
28,0,38,
29,0,38,
30,0,38,
31,0,38,
32,0,38,
33,0,38,
34,0,38,
35,0,38,
36,0,38,
37,0,38,
38,0,38,
39,0,38,
40,0,38,
41,0,38,
42,0,38,
43,0,38,
44,0,38,
45,0,38,
46,0,38,
47,0,38,
48,0,38,
49,0,38,
50,0,38,
51,0,38,
52,0,39,
53,0,39,
54,0,39,
55,0,39,
56,0,39,
57,0,39,
58,0,39,
59,0,39,
60,0,39,
61,0,39,
62,0,39,
63,0,39,
64,0,39,
65,0,39,
66,0,39,
67,0,39,
68,0,39,
69,0,39,
70,0,39,
71,0,39,
72,0,39,
73,0,39,
74,0,40,
75,0,40,
76,0,40,
77,0,40,
78,0,40,
79,0,40,
80,0,40,
81,0,40,
82,0,40,
83,0,40,
84,0,40,
85,0,40,
86,0,40,
87,0,41,
88,0,41,
89,0,41,
90,0,41,
91,0,41,
92,0,41,
93,0,41,
94,0,42,
95,0,42,
96,0,42,
97,0,42,
98,0,42,
99,0,42,
100,0,42,
101,0,42,
102,0,42,
103,0,42,
0,1,37,
1,1,37,
2,1,37,
3,1,37,
4,1,37,
5,1,37,
6,1,37,
7,1,37,
8,1,37,
9,1,37,
10,1,37,
11,1,38,
12,1,38,
13,1,37,
14,1,37,
15,1,37,
16,1,37,
17,1,37,
18,1,37,
19,1,37,
20,1,37,
21,1,37,
22,1,37,
23,1,37,
24,1,37,
25,1,37,
26,1,38,
27,1,38,
28,1,38,
29,1,38,
30,1,38,
31,1,38,
32,1,38,
33,1,38,
34,1,38,
35,1,38,
36,1,38,
37,1,38,
38,1,38,
39,1,38,
40,1,38,
41,1,38,
42,1,38,
43,1,38,
44,1,38,
45,1,38,
46,1,38,
47,1,38,
48,1,38,
49,1,38,
50,1,38,
51,1,38,
52,1,39,
53,1,39,
54,1,39,
55,1,39,
56,1,39,
57,1,39,
58,1,39,
59,1,39,
60,1,39,
61,1,39,
62,1,39,
63,1,39,
64,1,39,
65,1,39,
66,1,39,
67,1,39,
68,1,39,
69,1,39,
70,1,39,
71,1,39,
72,1,39,
73,1,39,
74,1,40,
75,1,40,
76,1,40,
77,1,40,
78,1,40,
79,1,40,
80,1,40,
81,1,40,
82,1,40,
83,1,40,
84,1,40,
85,1,40,
86,1,40,
87,1,41,
88,1,41,
89,1,41,
90,1,41,
91,1,41,
92,1,41,
93,1,41,
94,1,42,
95,1,42,
96,1,42,
97,1,42,
98,1,42,
99,1,42,
100,1,42,
101,1,42,
102,1,42,
103,1,42,
0,2,37,
1,2,37,
2,2,37,
3,2,37,
4,2,37,
5,2,37,
6,2,37,
7,2,37,
8,2,37,
9,2,37,
10,2,37,
11,2,38,
12,2,38,
13,2,37,
14,2,37,
15,2,37,
16,2,37,
17,2,37,
18,2,37,
19,2,37,
20,2,37,
21,2,37,
22,2,37,
23,2,37,
24,2,37,
25,2,37,
26,2,38,
27,2,38,
28,2,38,
29,2,38,
30,2,38,
31,2,38,
32,2,38,
33,2,38,
34,2,38,
35,2,38,
36,2,38,
37,2,38,
38,2,38,
39,2,38,
40,2,38,
41,2,38,
42,2,38,
43,2,38,
44,2,38,
45,2,38,
46,2,38,
47,2,38,
48,2,38,
49,2,38,
50,2,38,
51,2,38,
52,2,39,
53,2,39,
54,2,39,
55,2,39,
56,2,39,
57,2,39,
58,2,39,
59,2,39,
60,2,39,
61,2,39,
62,2,39,
63,2,39,
64,2,39,
65,2,39,
66,2,39,
67,2,39,
68,2,39,
69,2,39,
70,2,39,
71,2,39,
72,2,39,
73,2,39,
74,2,40,
75,2,40,
76,2,40,
77,2,40,
78,2,40,
79,2,40,
80,2,40,
81,2,40,
82,2,40,
83,2,40,
84,2,40,
85,2,40,
86,2,40,
87,2,41,
88,2,41,
89,2,41,
90,2,41,
91,2,41,
92,2,41,
93,2,41,
94,2,42,
95,2,42,
96,2,42,
97,2,42,
98,2,42,
99,2,42,
100,2,42,
101,2,42,
102,2,42,
103,2,42,
0,3,37,
1,3,37,
2,3,37,
3,3,37,
4,3,37,
5,3,37,
6,3,37,
7,3,37,
8,3,37,
9,3,37,
10,3,37,
11,3,38,
12,3,38,
13,3,37,
14,3,37,
15,3,37,
16,3,37,
17,3,37,
18,3,37,
19,3,37,
20,3,37,
21,3,37,
22,3,37,
23,3,37,
24,3,37,
25,3,37,
26,3,38,
27,3,38,
28,3,38,
29,3,38,
30,3,38,
31,3,38,
32,3,38,
33,3,38,
34,3,38,
35,3,38,
36,3,38,
37,3,38,
38,3,38,
39,3,38,
40,3,38,
41,3,38,
42,3,38,
43,3,38,
44,3,38,
45,3,38,
46,3,38,
47,3,38,
48,3,38,
49,3,38,
50,3,38,
51,3,38,
52,3,39,
53,3,39,
54,3,39,
55,3,39,
56,3,39,
57,3,39,
58,3,39,
